TABLE_SCHEMA,TABLE_NAME,TABLE_CATALOG,COLUMN_NAME,ORDINAL_POSITION,CONSTRAINT_NAME,CONSTRAINT_SCHEMA,CONSTRAINT_CATALOG,REFERENCED_TABLE_NAME,REFERENCED_COLUMN_NAME,REFERENCED_TABLE_SCHEMA,POSITION_IN_UNIQUE_CONSTRAINT
dvwa,guestbook,NULL,comment_id,1,PRIMARY,dvwa,NULL,NULL,NULL,NULL,NULL
dvwa,users,NULL,user_id,1,PRIMARY,dvwa,NULL,NULL,NULL,NULL,NULL
mysql,columns_priv,NULL,Host,1,PRIMARY,mysql,NULL,NULL,NULL,NULL,NULL
mysql,columns_priv,NULL,Db,2,PRIMARY,mysql,NULL,NULL,NULL,NULL,NULL
mysql,columns_priv,NULL,User,3,PRIMARY,mysql,NULL,NULL,NULL,NULL,NULL
mysql,columns_priv,NULL,Table_name,4,PRIMARY,mysql,NULL,NULL,NULL,NULL,NULL
mysql,columns_priv,NULL,Column_name,5,PRIMARY,mysql,NULL,NULL,NULL,NULL,NULL
mysql,db,NULL,Host,1,PRIMARY,mysql,NULL,NULL,NULL,NULL,NULL
mysql,db,NULL,Db,2,PRIMARY,mysql,NULL,NULL,NULL,NULL,NULL
mysql,db,NULL,User,3,PRIMARY,mysql,NULL,NULL,NULL,NULL,NULL
mysql,func,NULL,name,1,PRIMARY,mysql,NULL,NULL,NULL,NULL,NULL
mysql,help_category,NULL,help_category_id,1,PRIMARY,mysql,NULL,NULL,NULL,NULL,NULL
mysql,help_category,NULL,name,1,name,mysql,NULL,NULL,NULL,NULL,NULL
mysql,help_keyword,NULL,help_keyword_id,1,PRIMARY,mysql,NULL,NULL,NULL,NULL,NULL
mysql,help_keyword,NULL,name,1,name,mysql,NULL,NULL,NULL,NULL,NULL
mysql,help_relation,NULL,help_keyword_id,1,PRIMARY,mysql,NULL,NULL,NULL,NULL,NULL
mysql,help_relation,NULL,help_topic_id,2,PRIMARY,mysql,NULL,NULL,NULL,NULL,NULL
mysql,help_topic,NULL,help_topic_id,1,PRIMARY,mysql,NULL,NULL,NULL,NULL,NULL
mysql,help_topic,NULL,name,1,name,mysql,NULL,NULL,NULL,NULL,NULL
mysql,host,NULL,Host,1,PRIMARY,mysql,NULL,NULL,NULL,NULL,NULL
mysql,host,NULL,Db,2,PRIMARY,mysql,NULL,NULL,NULL,NULL,NULL
mysql,proc,NULL,db,1,PRIMARY,mysql,NULL,NULL,NULL,NULL,NULL
mysql,proc,NULL,name,2,PRIMARY,mysql,NULL,NULL,NULL,NULL,NULL
mysql,proc,NULL,type,3,PRIMARY,mysql,NULL,NULL,NULL,NULL,NULL
mysql,procs_priv,NULL,Host,1,PRIMARY,mysql,NULL,NULL,NULL,NULL,NULL
mysql,procs_priv,NULL,Db,2,PRIMARY,mysql,NULL,NULL,NULL,NULL,NULL
mysql,procs_priv,NULL,User,3,PRIMARY,mysql,NULL,NULL,NULL,NULL,NULL
mysql,procs_priv,NULL,Routine_name,4,PRIMARY,mysql,NULL,NULL,NULL,NULL,NULL
mysql,procs_priv,NULL,Routine_type,5,PRIMARY,mysql,NULL,NULL,NULL,NULL,NULL
mysql,tables_priv,NULL,Host,1,PRIMARY,mysql,NULL,NULL,NULL,NULL,NULL
mysql,tables_priv,NULL,Db,2,PRIMARY,mysql,NULL,NULL,NULL,NULL,NULL
mysql,tables_priv,NULL,User,3,PRIMARY,mysql,NULL,NULL,NULL,NULL,NULL
mysql,tables_priv,NULL,Table_name,4,PRIMARY,mysql,NULL,NULL,NULL,NULL,NULL
mysql,time_zone,NULL,Time_zone_id,1,PRIMARY,mysql,NULL,NULL,NULL,NULL,NULL
mysql,time_zone_leap_second,NULL,Transition_time,1,PRIMARY,mysql,NULL,NULL,NULL,NULL,NULL
mysql,time_zone_name,NULL,Name,1,PRIMARY,mysql,NULL,NULL,NULL,NULL,NULL
mysql,time_zone_transition,NULL,Time_zone_id,1,PRIMARY,mysql,NULL,NULL,NULL,NULL,NULL
mysql,time_zone_transition,NULL,Transition_time,2,PRIMARY,mysql,NULL,NULL,NULL,NULL,NULL
mysql,time_zone_transition_type,NULL,Time_zone_id,1,PRIMARY,mysql,NULL,NULL,NULL,NULL,NULL
mysql,time_zone_transition_type,NULL,Transition_type_id,2,PRIMARY,mysql,NULL,NULL,NULL,NULL,NULL
mysql,user,NULL,Host,1,PRIMARY,mysql,NULL,NULL,NULL,NULL,NULL
mysql,user,NULL,User,2,PRIMARY,mysql,NULL,NULL,NULL,NULL,NULL
owasp10,accounts,NULL,cid,1,PRIMARY,owasp10,NULL,NULL,NULL,NULL,NULL
owasp10,blogs_table,NULL,cid,1,PRIMARY,owasp10,NULL,NULL,NULL,NULL,NULL
owasp10,captured_data,NULL,data_id,1,PRIMARY,owasp10,NULL,NULL,NULL,NULL,NULL
owasp10,credit_cards,NULL,ccid,1,PRIMARY,owasp10,NULL,NULL,NULL,NULL,NULL
owasp10,hitlog,NULL,cid,1,PRIMARY,owasp10,NULL,NULL,NULL,NULL,NULL
owasp10,pen_test_tools,NULL,tool_id,1,PRIMARY,owasp10,NULL,NULL,NULL,NULL,NULL
tikiwiki,galaxia_activities,NULL,activityId,1,PRIMARY,tikiwiki,NULL,NULL,NULL,NULL,NULL
tikiwiki,galaxia_activity_roles,NULL,activityId,1,PRIMARY,tikiwiki,NULL,NULL,NULL,NULL,NULL
tikiwiki,galaxia_activity_roles,NULL,roleId,2,PRIMARY,tikiwiki,NULL,NULL,NULL,NULL,NULL
tikiwiki,galaxia_instance_activities,NULL,instanceId,1,PRIMARY,tikiwiki,NULL,NULL,NULL,NULL,NULL
tikiwiki,galaxia_instance_activities,NULL,activityId,2,PRIMARY,tikiwiki,NULL,NULL,NULL,NULL,NULL
tikiwiki,galaxia_instance_comments,NULL,cId,1,PRIMARY,tikiwiki,NULL,NULL,NULL,NULL,NULL
tikiwiki,galaxia_instances,NULL,instanceId,1,PRIMARY,tikiwiki,NULL,NULL,NULL,NULL,NULL
tikiwiki,galaxia_processes,NULL,pId,1,PRIMARY,tikiwiki,NULL,NULL,NULL,NULL,NULL
tikiwiki,galaxia_roles,NULL,roleId,1,PRIMARY,tikiwiki,NULL,NULL,NULL,NULL,NULL
tikiwiki,galaxia_transitions,NULL,actFromId,1,PRIMARY,tikiwiki,NULL,NULL,NULL,NULL,NULL
tikiwiki,galaxia_transitions,NULL,actToId,2,PRIMARY,tikiwiki,NULL,NULL,NULL,NULL,NULL
tikiwiki,galaxia_user_roles,NULL,roleId,1,PRIMARY,tikiwiki,NULL,NULL,NULL,NULL,NULL
tikiwiki,galaxia_user_roles,NULL,user,2,PRIMARY,tikiwiki,NULL,NULL,NULL,NULL,NULL
tikiwiki,galaxia_workitems,NULL,itemId,1,PRIMARY,tikiwiki,NULL,NULL,NULL,NULL,NULL
tikiwiki,messu_archive,NULL,msgId,1,PRIMARY,tikiwiki,NULL,NULL,NULL,NULL,NULL
tikiwiki,messu_messages,NULL,msgId,1,PRIMARY,tikiwiki,NULL,NULL,NULL,NULL,NULL
tikiwiki,messu_sent,NULL,msgId,1,PRIMARY,tikiwiki,NULL,NULL,NULL,NULL,NULL
tikiwiki,sessions,NULL,sesskey,1,PRIMARY,tikiwiki,NULL,NULL,NULL,NULL,NULL
tikiwiki,tiki_article_types,NULL,type,1,PRIMARY,tikiwiki,NULL,NULL,NULL,NULL,NULL
tikiwiki,tiki_articles,NULL,articleId,1,PRIMARY,tikiwiki,NULL,NULL,NULL,NULL,NULL
tikiwiki,tiki_banners,NULL,bannerId,1,PRIMARY,tikiwiki,NULL,NULL,NULL,NULL,NULL
tikiwiki,tiki_banning,NULL,banId,1,PRIMARY,tikiwiki,NULL,NULL,NULL,NULL,NULL
tikiwiki,tiki_banning_sections,NULL,banId,1,PRIMARY,tikiwiki,NULL,NULL,NULL,NULL,NULL
tikiwiki,tiki_banning_sections,NULL,section,2,PRIMARY,tikiwiki,NULL,NULL,NULL,NULL,NULL
tikiwiki,tiki_blog_activity,NULL,blogId,1,PRIMARY,tikiwiki,NULL,NULL,NULL,NULL,NULL
tikiwiki,tiki_blog_activity,NULL,day,2,PRIMARY,tikiwiki,NULL,NULL,NULL,NULL,NULL
tikiwiki,tiki_blog_posts,NULL,postId,1,PRIMARY,tikiwiki,NULL,NULL,NULL,NULL,NULL
tikiwiki,tiki_blog_posts_images,NULL,imgId,1,PRIMARY,tikiwiki,NULL,NULL,NULL,NULL,NULL
tikiwiki,tiki_blogs,NULL,blogId,1,PRIMARY,tikiwiki,NULL,NULL,NULL,NULL,NULL
tikiwiki,tiki_calendar_categories,NULL,calcatId,1,PRIMARY,tikiwiki,NULL,NULL,NULL,NULL,NULL
tikiwiki,tiki_calendar_categories,NULL,calendarId,1,catname,tikiwiki,NULL,NULL,NULL,NULL,NULL
tikiwiki,tiki_calendar_categories,NULL,name,2,catname,tikiwiki,NULL,NULL,NULL,NULL,NULL
tikiwiki,tiki_calendar_items,NULL,calitemId,1,PRIMARY,tikiwiki,NULL,NULL,NULL,NULL,NULL
tikiwiki,tiki_calendar_locations,NULL,callocId,1,PRIMARY,tikiwiki,NULL,NULL,NULL,NULL,NULL
tikiwiki,tiki_calendar_locations,NULL,calendarId,1,locname,tikiwiki,NULL,NULL,NULL,NULL,NULL
tikiwiki,tiki_calendar_locations,NULL,name,2,locname,tikiwiki,NULL,NULL,NULL,NULL,NULL
tikiwiki,tiki_calendar_roles,NULL,calitemId,1,PRIMARY,tikiwiki,NULL,NULL,NULL,NULL,NULL
tikiwiki,tiki_calendar_roles,NULL,username,2,PRIMARY,tikiwiki,NULL,NULL,NULL,NULL,NULL
tikiwiki,tiki_calendar_roles,NULL,role,3,PRIMARY,tikiwiki,NULL,NULL,NULL,NULL,NULL
tikiwiki,tiki_calendars,NULL,calendarId,1,PRIMARY,tikiwiki,NULL,NULL,NULL,NULL,NULL
tikiwiki,tiki_categories,NULL,categId,1,PRIMARY,tikiwiki,NULL,NULL,NULL,NULL,NULL
tikiwiki,tiki_categorized_objects,NULL,catObjectId,1,PRIMARY,tikiwiki,NULL,NULL,NULL,NULL,NULL
tikiwiki,tiki_category_objects,NULL,catObjectId,1,PRIMARY,tikiwiki,NULL,NULL,NULL,NULL,NULL
tikiwiki,tiki_category_objects,NULL,categId,2,PRIMARY,tikiwiki,NULL,NULL,NULL,NULL,NULL
tikiwiki,tiki_category_sites,NULL,categId,1,PRIMARY,tikiwiki,NULL,NULL,NULL,NULL,NULL
tikiwiki,tiki_category_sites,NULL,siteId,2,PRIMARY,tikiwiki,NULL,NULL,NULL,NULL,NULL
tikiwiki,tiki_chart_items,NULL,itemId,1,PRIMARY,tikiwiki,NULL,NULL,NULL,NULL,NULL
tikiwiki,tiki_charts,NULL,chartId,1,PRIMARY,tikiwiki,NULL,NULL,NULL,NULL,NULL
tikiwiki,tiki_charts_rankings,NULL,chartId,1,PRIMARY,tikiwiki,NULL,NULL,NULL,NULL,NULL
tikiwiki,tiki_charts_rankings,NULL,itemId,2,PRIMARY,tikiwiki,NULL,NULL,NULL,NULL,NULL
