PACKED,NULLABLE,SUB_PART,COMMENT,INDEX_NAME,INDEX_TYPE,NON_UNIQUE,COLLATION,INDEX_SCHEMA,SEQ_IN_INDEX,TABLE_SCHEMA,TABLE_NAME,TABLE_CATALOG,CARDINALITY,COLUMN_NAME
NULL,<blank>,NULL,<blank>,PRIMARY,BTREE,0,A,dvwa,1,dvwa,guestbook,NULL,1,comment_id
NULL,<blank>,NULL,<blank>,PRIMARY,BTREE,0,A,dvwa,1,dvwa,users,NULL,5,user_id
NULL,<blank>,NULL,<blank>,PRIMARY,BTREE,0,A,mysql,1,mysql,columns_priv,NULL,NULL,Host
NULL,<blank>,NULL,<blank>,PRIMARY,BTREE,0,A,mysql,2,mysql,columns_priv,NULL,NULL,Db
NULL,<blank>,NULL,<blank>,PRIMARY,BTREE,0,A,mysql,3,mysql,columns_priv,NULL,NULL,User
NULL,<blank>,NULL,<blank>,PRIMARY,BTREE,0,A,mysql,4,mysql,columns_priv,NULL,NULL,Table_name
NULL,<blank>,NULL,<blank>,PRIMARY,BTREE,0,A,mysql,5,mysql,columns_priv,NULL,0,Column_name
NULL,<blank>,NULL,<blank>,PRIMARY,BTREE,0,A,mysql,1,mysql,db,NULL,NULL,Host
NULL,<blank>,NULL,<blank>,PRIMARY,BTREE,0,A,mysql,2,mysql,db,NULL,NULL,Db
NULL,<blank>,NULL,<blank>,PRIMARY,BTREE,0,A,mysql,3,mysql,db,NULL,2,User
NULL,<blank>,NULL,<blank>,User,BTREE,1,A,mysql,1,mysql,db,NULL,NULL,User
NULL,<blank>,NULL,<blank>,PRIMARY,BTREE,0,A,mysql,1,mysql,func,NULL,0,name
NULL,<blank>,NULL,<blank>,PRIMARY,BTREE,0,A,mysql,1,mysql,help_category,NULL,36,help_category_id
NULL,<blank>,NULL,<blank>,name,BTREE,0,A,mysql,1,mysql,help_category,NULL,36,name
NULL,<blank>,NULL,<blank>,PRIMARY,BTREE,0,A,mysql,1,mysql,help_keyword,NULL,401,help_keyword_id
NULL,<blank>,NULL,<blank>,name,BTREE,0,A,mysql,1,mysql,help_keyword,NULL,401,name
NULL,<blank>,NULL,<blank>,PRIMARY,BTREE,0,A,mysql,1,mysql,help_relation,NULL,NULL,help_keyword_id
NULL,<blank>,NULL,<blank>,PRIMARY,BTREE,0,A,mysql,2,mysql,help_relation,NULL,825,help_topic_id
NULL,<blank>,NULL,<blank>,PRIMARY,BTREE,0,A,mysql,1,mysql,help_topic,NULL,475,help_topic_id
NULL,<blank>,NULL,<blank>,name,BTREE,0,A,mysql,1,mysql,help_topic,NULL,475,name
NULL,<blank>,NULL,<blank>,PRIMARY,BTREE,0,A,mysql,1,mysql,host,NULL,NULL,Host
NULL,<blank>,NULL,<blank>,PRIMARY,BTREE,0,A,mysql,2,mysql,host,NULL,0,Db
NULL,<blank>,NULL,<blank>,PRIMARY,BTREE,0,A,mysql,1,mysql,proc,NULL,1,db
NULL,<blank>,NULL,<blank>,PRIMARY,BTREE,0,A,mysql,2,mysql,proc,NULL,3,name
NULL,<blank>,NULL,<blank>,PRIMARY,BTREE,0,A,mysql,3,mysql,proc,NULL,3,type
NULL,<blank>,NULL,<blank>,PRIMARY,BTREE,0,A,mysql,1,mysql,procs_priv,NULL,NULL,Host
NULL,<blank>,NULL,<blank>,PRIMARY,BTREE,0,A,mysql,2,mysql,procs_priv,NULL,NULL,Db
NULL,<blank>,NULL,<blank>,PRIMARY,BTREE,0,A,mysql,3,mysql,procs_priv,NULL,NULL,User
NULL,<blank>,NULL,<blank>,PRIMARY,BTREE,0,A,mysql,4,mysql,procs_priv,NULL,NULL,Routine_name
NULL,<blank>,NULL,<blank>,PRIMARY,BTREE,0,A,mysql,5,mysql,procs_priv,NULL,0,Routine_type
NULL,<blank>,NULL,<blank>,Grantor,BTREE,1,A,mysql,1,mysql,procs_priv,NULL,NULL,Grantor
NULL,<blank>,NULL,<blank>,PRIMARY,BTREE,0,A,mysql,1,mysql,tables_priv,NULL,NULL,Host
NULL,<blank>,NULL,<blank>,PRIMARY,BTREE,0,A,mysql,2,mysql,tables_priv,NULL,NULL,Db
NULL,<blank>,NULL,<blank>,PRIMARY,BTREE,0,A,mysql,3,mysql,tables_priv,NULL,NULL,User
NULL,<blank>,NULL,<blank>,PRIMARY,BTREE,0,A,mysql,4,mysql,tables_priv,NULL,0,Table_name
NULL,<blank>,NULL,<blank>,Grantor,BTREE,1,A,mysql,1,mysql,tables_priv,NULL,NULL,Grantor
NULL,<blank>,NULL,<blank>,PRIMARY,BTREE,0,A,mysql,1,mysql,time_zone,NULL,0,Time_zone_id
NULL,<blank>,NULL,<blank>,PRIMARY,BTREE,0,A,mysql,1,mysql,time_zone_leap_second,NULL,0,Transition_time
NULL,<blank>,NULL,<blank>,PRIMARY,BTREE,0,A,mysql,1,mysql,time_zone_name,NULL,0,Name
NULL,<blank>,NULL,<blank>,PRIMARY,BTREE,0,A,mysql,1,mysql,time_zone_transition,NULL,NULL,Time_zone_id
NULL,<blank>,NULL,<blank>,PRIMARY,BTREE,0,A,mysql,2,mysql,time_zone_transition,NULL,0,Transition_time
NULL,<blank>,NULL,<blank>,PRIMARY,BTREE,0,A,mysql,1,mysql,time_zone_transition_type,NULL,NULL,Time_zone_id
NULL,<blank>,NULL,<blank>,PRIMARY,BTREE,0,A,mysql,2,mysql,time_zone_transition_type,NULL,0,Transition_type_id
NULL,<blank>,NULL,<blank>,PRIMARY,BTREE,0,A,mysql,1,mysql,user,NULL,1,Host
NULL,<blank>,NULL,<blank>,PRIMARY,BTREE,0,A,mysql,2,mysql,user,NULL,3,User
NULL,<blank>,NULL,<blank>,PRIMARY,BTREE,0,A,owasp10,1,owasp10,accounts,NULL,16,cid
NULL,<blank>,NULL,<blank>,PRIMARY,BTREE,0,A,owasp10,1,owasp10,blogs_table,NULL,12,cid
NULL,<blank>,NULL,<blank>,PRIMARY,BTREE,0,A,owasp10,1,owasp10,captured_data,NULL,0,data_id
NULL,<blank>,NULL,<blank>,PRIMARY,BTREE,0,A,owasp10,1,owasp10,credit_cards,NULL,5,ccid
NULL,<blank>,NULL,<blank>,PRIMARY,BTREE,0,A,owasp10,1,owasp10,hitlog,NULL,0,cid
NULL,<blank>,NULL,<blank>,PRIMARY,BTREE,0,A,owasp10,1,owasp10,pen_test_tools,NULL,20,tool_id
NULL,<blank>,NULL,<blank>,PRIMARY,BTREE,0,A,tikiwiki,1,tikiwiki,galaxia_activities,NULL,0,activityId
