TABLE_SCHEMA,TABLE_NAME,CONSTRAINT_TYPE,CONSTRAINT_NAME,CONSTRAINT_SCHEMA,CONSTRAINT_CATALOG
dvwa,guestbook,PRIMARY KEY,PRIMARY,dvwa,NULL
dvwa,users,PRIMARY KEY,PRIMARY,dvwa,NULL
mysql,columns_priv,PRIMARY KEY,PRIMARY,mysql,NULL
mysql,db,PRIMARY KEY,PRIMARY,mysql,NULL
mysql,func,PRIMARY KEY,PRIMARY,mysql,NULL
mysql,help_category,PRIMARY KEY,PRIMARY,mysql,NULL
mysql,help_category,UNIQUE,name,mysql,NULL
mysql,help_keyword,PRIMARY KEY,PRIMARY,mysql,NULL
mysql,help_keyword,UNIQUE,name,mysql,NULL
mysql,help_relation,PRIMARY KEY,PRIMARY,mysql,NULL
mysql,help_topic,PRIMARY KEY,PRIMARY,mysql,NULL
mysql,help_topic,UNIQUE,name,mysql,NULL
mysql,host,PRIMARY KEY,PRIMARY,mysql,NULL
mysql,proc,PRIMARY KEY,PRIMARY,mysql,NULL
mysql,procs_priv,PRIMARY KEY,PRIMARY,mysql,NULL
mysql,tables_priv,PRIMARY KEY,PRIMARY,mysql,NULL
mysql,time_zone,PRIMARY KEY,PRIMARY,mysql,NULL
mysql,time_zone_leap_second,PRIMARY KEY,PRIMARY,mysql,NULL
mysql,time_zone_name,PRIMARY KEY,PRIMARY,mysql,NULL
mysql,time_zone_transition,PRIMARY KEY,PRIMARY,mysql,NULL
mysql,time_zone_transition_type,PRIMARY KEY,PRIMARY,mysql,NULL
mysql,user,PRIMARY KEY,PRIMARY,mysql,NULL
owasp10,accounts,PRIMARY KEY,PRIMARY,owasp10,NULL
owasp10,blogs_table,PRIMARY KEY,PRIMARY,owasp10,NULL
owasp10,captured_data,PRIMARY KEY,PRIMARY,owasp10,NULL
owasp10,credit_cards,PRIMARY KEY,PRIMARY,owasp10,NULL
owasp10,hitlog,PRIMARY KEY,PRIMARY,owasp10,NULL
owasp10,pen_test_tools,PRIMARY KEY,PRIMARY,owasp10,NULL
tikiwiki,galaxia_activities,PRIMARY KEY,PRIMARY,tikiwiki,NULL
