help_keyword_id,name
0,JOIN
1,REPEAT
2,SERIALIZABLE
3,REPLACE
4,RETURNS
5,MASTER_SSL_CA
6,NCHAR
7,COLUMNS
8,WORK
9,DATETIME
10,MODE
11,OPEN
12,INTEGER
13,ESCAPE
14,VALUE
15,GEOMETRYCOLLECTIONFROMWKB
16,SQL_BIG_RESULT
17,DROP
18,EVENTS
19,MONTH
20,INFO
21,PROFILES
22,DUPLICATE
23,REPLICATION
24,INNODB
25,YEAR_MONTH
26,SUBJECT
27,PREPARE
28,LOCK
29,NDB
30,CHECK
31,FULL
32,INT4
33,BY
34,NO
35,MINUTE
36,DATA
37,DAY
38,SHARE
39,REAL
40,SEPARATOR
41,DELETE
42,ON
43,CONNECTION
44,CLOSE
45,X509
46,USE
47,WHERE
48,PRIVILEGES
49,SPATIAL
50,SUPER
51,SQL_BUFFER_RESULT
52,IGNORE
53,QUICK
54,SIGNED
55,SECURITY
56,POLYGONFROMWKB
57,NDBCLUSTER
58,FALSE
59,LEVEL
60,FORCE
61,BINARY
62,TO
63,CHANGE
64,HOUR_MINUTE
65,UPDATE
66,INTO
67,FEDERATED
68,VARYING
69,HOUR_SECOND
70,VARIABLE
71,ROLLBACK
72,PROCEDURE
73,RTREE
74,TIMESTAMP
75,IMPORT
76,AGAINST
77,CHECKSUM
78,COUNT
79,LONGBINARY
80,THEN
81,INSERT
82,ENGINES
83,HANDLER
84,DAY_SECOND
85,EXISTS
86,MUTEX
87,RELEASE
88,BOOLEAN
89,MOD
90,DEFAULT
91,TYPE
92,NO_WRITE_TO_BINLOG
93,OPTIMIZE
94,RESET
95,ITERATE
96,DO
97,BIGINT
98,SET
99,ISSUER
100,DATE
101,STATUS
102,FULLTEXT
103,COMMENT
104,MASTER_CONNECT_RETRY
105,INNER
106,STOP
107,MASTER_LOG_FILE
108,MRG_MYISAM
109,PRECISION
110,REQUIRE
111,TRAILING
112,LONG
113,OPTION
114,ELSE
115,DEALLOCATE
116,IO_THREAD
117,CASE
118,CIPHER
119,CONTINUE
120,FROM
121,READ
122,LEFT
123,ELSEIF
124,MINUTE_SECOND
125,COMPACT
126,RESTORE
127,DEC
128,FOR
129,WARNINGS
130,MIN_ROWS
131,STRING
132,CONDITION
133,FUNCTION
134,ENCLOSED
135,AGGREGATE
136,FIELDS
137,INT3
138,ARCHIVE
139,ADD
140,AVG_ROW_LENGTH
141,KILL
142,FLOAT4
143,VIEW
144,REPEATABLE
145,INFILE
146,ORDER
147,USING
148,MIDDLEINT
149,GRANT
150,UNSIGNED
151,DECIMAL
152,GEOMETRYFROMTEXT
153,INDEXES
154,FOREIGN
155,CACHE
156,HOSTS
157,COMMIT
158,SCHEMAS
159,LEADING
160,SNAPSHOT
161,DECLARE
162,LOAD
163,SQL_CACHE
164,CONVERT
165,DYNAMIC
